xi,beta,gamma,alpha,w_opt,mu,delta,net_mag,net_rat,h_init,n_init,ws_init,ms_init,wf_init,mf_init
0.0,0.8319367861159727,0.00015068925129979238,1.0,1000.0,0.023,1.0,0.025118864315095794,0.15848931924611143,0.3003731343283582,536.0,327.0,140.0,48.0,21.0
0.0,0.8319367861159727,0.00037851428571428577,1.0,1000.0,0.023,1.0,0.025118864315095794,0.3981071705534973,0.3,570.0,305.0,131.0,94.0,40.0
0.0,0.8319367861159727,0.0009507848984182547,1.0,1000.0,0.023,1.0,0.025118864315095794,1.0,0.29906542056074764,642.0,253.0,108.0,197.0,84.0
0.0,0.8319367861159727,0.0023882636856210307,1.0,1000.0,0.023,1.0,0.025118864315095794,2.5118864315095824,0.3002610966057441,766.0,166.0,71.0,370.0,159.0
0.0,0.8319367861159727,0.005999047146778526,1.0,1000.0,0.023,1.0,0.025118864315095794,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,0.8319367861159727,0.015068925129979238,1.0,1000.0,0.023,1.0,0.025118864315095794,15.848931924611142,0.3007360672975815,951.0,36.0,16.0,629.0,270.0
0.0,0.8319367861159727,0.03785142857142858,1.0,1000.0,0.023,1.0,0.025118864315095794,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,0.8319367861159727,0.09507848984182547,1.0,1000.0,0.023,1.0,0.025118864315095794,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,2.0897307249184003,2.3882636856210294e-05,1.0,1000.0,0.023,1.0,0.06309573444801933,0.01,0.29980276134122286,507.0,346.0,148.0,9.0,4.0
0.0,2.0897307249184003,5.9990471467785236e-05,1.0,1000.0,0.023,1.0,0.06309573444801933,0.025118864315095794,0.3005893909626719,509.0,344.0,148.0,12.0,5.0
0.0,2.0897307249184003,0.00015068925129979238,1.0,1000.0,0.023,1.0,0.06309573444801933,0.06309573444801933,0.3003875968992248,516.0,341.0,146.0,20.0,9.0
0.0,2.0897307249184003,0.00037851428571428604,1.0,1000.0,0.023,1.0,0.06309573444801933,0.15848931924611143,0.3,530.0,332.0,142.0,39.0,17.0
0.0,2.0897307249184003,0.0009507848984182552,1.0,1000.0,0.023,1.0,0.06309573444801933,0.3981071705534973,0.298932384341637,562.0,309.0,132.0,85.0,36.0
0.0,2.0897307249184003,0.0023882636856210294,1.0,1000.0,0.023,1.0,0.06309573444801933,1.0,0.3004694835680751,639.0,256.0,110.0,191.0,82.0
0.0,2.0897307249184003,0.005999047146778531,1.0,1000.0,0.023,1.0,0.06309573444801933,2.5118864315095824,0.299738219895288,764.0,167.0,71.0,368.0,158.0
0.0,2.0897307249184003,0.015068925129979246,1.0,1000.0,0.023,1.0,0.06309573444801933,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,2.0897307249184003,0.0378514285714286,1.0,1000.0,0.023,1.0,0.06309573444801933,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,2.0897307249184003,0.09507848984182553,1.0,1000.0,0.023,1.0,0.06309573444801933,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,2.0897307249184003,0.23882636856210293,1.0,1000.0,0.023,1.0,0.06309573444801933,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,5.24916625343121,5.999047146778528e-05,1.0,1000.0,0.023,1.0,0.15848931924611143,0.01,0.2996031746031746,504.0,348.0,149.0,5.0,2.0
0.0,5.24916625343121,0.00015068925129979238,1.0,1000.0,0.023,1.0,0.15848931924611143,0.025118864315095794,0.29980276134122286,507.0,347.0,149.0,8.0,3.0
0.0,5.24916625343121,0.000378514285714286,1.0,1000.0,0.023,1.0,0.15848931924611143,0.06309573444801933,0.3001949317738791,513.0,343.0,147.0,16.0,7.0
0.0,5.24916625343121,0.0009507848984182559,1.0,1000.0,0.023,1.0,0.15848931924611143,0.15848931924611143,0.2998102466793169,527.0,334.0,143.0,35.0,15.0
0.0,5.24916625343121,0.0023882636856210307,1.0,1000.0,0.023,1.0,0.15848931924611143,0.3981071705534973,0.2994652406417112,561.0,311.0,133.0,82.0,35.0
0.0,5.24916625343121,0.005999047146778527,1.0,1000.0,0.023,1.0,0.15848931924611143,1.0,0.29984301412872844,637.0,257.0,110.0,189.0,81.0
0.0,5.24916625343121,0.015068925129979257,1.0,1000.0,0.023,1.0,0.15848931924611143,2.5118864315095824,0.3006535947712418,765.0,167.0,72.0,368.0,158.0
0.0,5.24916625343121,0.03785142857142862,1.0,1000.0,0.023,1.0,0.15848931924611143,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,5.24916625343121,0.09507848984182558,1.0,1000.0,0.023,1.0,0.15848931924611143,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,5.24916625343121,0.23882636856210307,1.0,1000.0,0.023,1.0,0.15848931924611143,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,5.24916625343121,0.5999047146778527,1.0,1000.0,0.023,1.0,0.15848931924611143,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,13.18530948873183,0.00015068925129979238,1.0,1000.0,0.023,1.0,0.3981071705534973,0.01,0.30019880715705766,503.0,349.0,150.0,3.0,1.0
0.0,13.18530948873183,0.0003785142857142857,1.0,1000.0,0.023,1.0,0.3981071705534973,0.025118864315095794,0.300990099009901,505.0,347.0,149.0,6.0,3.0
0.0,13.18530948873183,0.0009507848984182551,1.0,1000.0,0.023,1.0,0.3981071705534973,0.06309573444801933,0.299412915851272,511.0,344.0,147.0,14.0,6.0
0.0,13.18530948873183,0.0023882636856210307,1.0,1000.0,0.023,1.0,0.3981071705534973,0.15848931924611143,0.29961832061068705,524.0,334.0,143.0,33.0,14.0
0.0,13.18530948873183,0.005999047146778526,1.0,1000.0,0.023,1.0,0.3981071705534973,0.3981071705534973,0.2992831541218638,558.0,311.0,133.0,80.0,34.0
0.0,13.18530948873183,0.015068925129979238,1.0,1000.0,0.023,1.0,0.3981071705534973,1.0,0.2992125984251969,635.0,257.0,110.0,188.0,80.0
0.0,13.18530948873183,0.03785142857142862,1.0,1000.0,0.023,1.0,0.3981071705534973,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,13.18530948873183,0.09507848984182556,1.0,1000.0,0.023,1.0,0.3981071705534973,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,13.18530948873183,0.23882636856210304,1.0,1000.0,0.023,1.0,0.3981071705534973,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,13.18530948873183,0.5999047146778527,1.0,1000.0,0.023,1.0,0.3981071705534973,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,13.18530948873183,1.5068925129979238,1.0,1000.0,0.023,1.0,0.3981071705534973,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,33.12,0.00037851428571428577,1.0,1000.0,0.023,1.0,1.0,0.01,0.300796812749004,502.0,349.0,150.0,2.0,1.0
0.0,33.12,0.0009507848984182547,1.0,1000.0,0.023,1.0,1.0,0.025118864315095794,0.299009900990099,505.0,348.0,149.0,6.0,2.0
0.0,33.12,0.0023882636856210294,1.0,1000.0,0.023,1.0,1.0,0.06309573444801933,0.3,510.0,344.0,147.0,13.0,6.0
0.0,33.12,0.005999047146778527,1.0,1000.0,0.023,1.0,1.0,0.15848931924611143,0.29961832061068705,524.0,335.0,143.0,32.0,14.0
0.0,33.12,0.015068925129979238,1.0,1000.0,0.023,1.0,1.0,0.3981071705534973,0.3,560.0,312.0,134.0,80.0,34.0
0.0,33.12,0.03785142857142858,1.0,1000.0,0.023,1.0,1.0,1.0,0.2992125984251969,635.0,258.0,110.0,187.0,80.0
0.0,33.12,0.09507848984182558,1.0,1000.0,0.023,1.0,1.0,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,33.12,0.23882636856210304,1.0,1000.0,0.023,1.0,1.0,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,33.12,0.5999047146778527,1.0,1000.0,0.023,1.0,1.0,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,33.12,1.5068925129979238,1.0,1000.0,0.023,1.0,1.0,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,33.12,3.7851428571428576,1.0,1000.0,0.023,1.0,1.0,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,83.19367861159736,0.0009507848984182559,1.0,1000.0,0.023,1.0,2.5118864315095824,0.01,0.300796812749004,502.0,349.0,150.0,2.0,1.0
0.0,83.19367861159736,0.0023882636856210307,1.0,1000.0,0.023,1.0,2.5118864315095824,0.025118864315095794,0.2996031746031746,504.0,348.0,149.0,5.0,2.0
0.0,83.19367861159736,0.005999047146778531,1.0,1000.0,0.023,1.0,2.5118864315095824,0.06309573444801933,0.3013698630136986,511.0,344.0,148.0,13.0,6.0
0.0,83.19367861159736,0.015068925129979257,1.0,1000.0,0.023,1.0,2.5118864315095824,0.15848931924611143,0.30095238095238097,525.0,335.0,144.0,32.0,14.0
0.0,83.19367861159736,0.03785142857142862,1.0,1000.0,0.023,1.0,2.5118864315095824,0.3981071705534973,0.3005366726296959,559.0,312.0,134.0,79.0,34.0
0.0,83.19367861159736,0.09507848984182558,1.0,1000.0,0.023,1.0,2.5118864315095824,1.0,0.2992125984251969,635.0,258.0,110.0,187.0,80.0
0.0,83.19367861159736,0.23882636856210335,1.0,1000.0,0.023,1.0,2.5118864315095824,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,83.19367861159736,0.5999047146778533,1.0,1000.0,0.023,1.0,2.5118864315095824,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,83.19367861159736,1.5068925129979256,1.0,1000.0,0.023,1.0,2.5118864315095824,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,83.19367861159736,3.785142857142862,1.0,1000.0,0.023,1.0,2.5118864315095824,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,83.19367861159736,9.507848984182559,1.0,1000.0,0.023,1.0,2.5118864315095824,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,208.9730724918401,0.0023882636856210303,1.0,1000.0,0.023,1.0,6.309573444801936,0.01,0.30019880715705766,503.0,350.0,150.0,2.0,1.0
0.0,208.9730724918401,0.005999047146778526,1.0,1000.0,0.023,1.0,6.309573444801936,0.025118864315095794,0.2996031746031746,504.0,348.0,149.0,5.0,2.0
0.0,208.9730724918401,0.015068925129979246,1.0,1000.0,0.023,1.0,6.309573444801936,0.06309573444801933,0.3,510.0,344.0,148.0,13.0,5.0
0.0,208.9730724918401,0.03785142857142862,1.0,1000.0,0.023,1.0,6.309573444801936,0.15848931924611143,0.30095238095238097,525.0,335.0,144.0,32.0,14.0
0.0,208.9730724918401,0.09507848984182557,1.0,1000.0,0.023,1.0,6.309573444801936,0.3981071705534973,0.3005366726296959,559.0,312.0,134.0,79.0,34.0
0.0,208.9730724918401,0.23882636856210304,1.0,1000.0,0.023,1.0,6.309573444801936,1.0,0.2992125984251969,635.0,258.0,110.0,187.0,80.0
0.0,208.9730724918401,0.5999047146778533,1.0,1000.0,0.023,1.0,6.309573444801936,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,208.9730724918401,1.5068925129979254,1.0,1000.0,0.023,1.0,6.309573444801936,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,208.9730724918401,3.7851428571428616,1.0,1000.0,0.023,1.0,6.309573444801936,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,208.9730724918401,9.507848984182557,1.0,1000.0,0.023,1.0,6.309573444801936,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,208.9730724918401,23.882636856210304,1.0,1000.0,0.023,1.0,6.309573444801936,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,524.9166253431209,0.005999047146778527,1.0,1000.0,0.023,1.0,15.848931924611142,0.01,0.30019880715705766,503.0,350.0,150.0,2.0,1.0
0.0,524.9166253431209,0.015068925129979238,1.0,1000.0,0.023,1.0,15.848931924611142,0.025118864315095794,0.2996031746031746,504.0,348.0,149.0,5.0,2.0
0.0,524.9166253431209,0.0378514285714286,1.0,1000.0,0.023,1.0,15.848931924611142,0.06309573444801933,0.3,510.0,344.0,148.0,13.0,5.0
0.0,524.9166253431209,0.09507848984182558,1.0,1000.0,0.023,1.0,15.848931924611142,0.15848931924611143,0.30095238095238097,525.0,335.0,144.0,32.0,14.0
0.0,524.9166253431209,0.23882636856210304,1.0,1000.0,0.023,1.0,15.848931924611142,0.3981071705534973,0.3005366726296959,559.0,312.0,134.0,79.0,34.0
0.0,524.9166253431209,0.5999047146778527,1.0,1000.0,0.023,1.0,15.848931924611142,1.0,0.2992125984251969,635.0,258.0,110.0,187.0,80.0
0.0,524.9166253431209,1.5068925129979256,1.0,1000.0,0.023,1.0,15.848931924611142,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,524.9166253431209,3.7851428571428616,1.0,1000.0,0.023,1.0,15.848931924611142,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,524.9166253431209,9.507848984182557,1.0,1000.0,0.023,1.0,15.848931924611142,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,524.9166253431209,23.882636856210304,1.0,1000.0,0.023,1.0,15.848931924611142,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,524.9166253431209,59.99047146778527,1.0,1000.0,0.023,1.0,15.848931924611142,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,1318.530948873183,0.015068925129979238,1.0,1000.0,0.023,1.0,39.810717055349734,0.01,0.30019880715705766,503.0,350.0,150.0,2.0,1.0
0.0,1318.530948873183,0.03785142857142857,1.0,1000.0,0.023,1.0,39.810717055349734,0.025118864315095794,0.2996031746031746,504.0,348.0,149.0,5.0,2.0
0.0,1318.530948873183,0.09507848984182551,1.0,1000.0,0.023,1.0,39.810717055349734,0.06309573444801933,0.3,510.0,344.0,148.0,13.0,5.0
0.0,1318.530948873183,0.23882636856210307,1.0,1000.0,0.023,1.0,39.810717055349734,0.15848931924611143,0.30095238095238097,525.0,335.0,144.0,32.0,14.0
0.0,1318.530948873183,0.5999047146778527,1.0,1000.0,0.023,1.0,39.810717055349734,0.3981071705534973,0.3005366726296959,559.0,312.0,134.0,79.0,34.0
0.0,1318.530948873183,1.5068925129979238,1.0,1000.0,0.023,1.0,39.810717055349734,1.0,0.2992125984251969,635.0,258.0,110.0,187.0,80.0
0.0,1318.530948873183,3.7851428571428616,1.0,1000.0,0.023,1.0,39.810717055349734,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,1318.530948873183,9.507848984182557,1.0,1000.0,0.023,1.0,39.810717055349734,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,1318.530948873183,23.882636856210304,1.0,1000.0,0.023,1.0,39.810717055349734,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,1318.530948873183,59.99047146778527,1.0,1000.0,0.023,1.0,39.810717055349734,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,1318.530948873183,150.68925129979237,1.0,1000.0,0.023,1.0,39.810717055349734,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,3311.9999999999995,0.03785142857142858,1.0,1000.0,0.023,1.0,100.0,0.01,0.30019880715705766,503.0,350.0,150.0,2.0,1.0
0.0,3311.9999999999995,0.09507848984182546,1.0,1000.0,0.023,1.0,100.0,0.025118864315095794,0.2996031746031746,504.0,348.0,149.0,5.0,2.0
0.0,3311.9999999999995,0.2388263685621029,1.0,1000.0,0.023,1.0,100.0,0.06309573444801933,0.3,510.0,344.0,148.0,13.0,5.0
0.0,3311.9999999999995,0.5999047146778527,1.0,1000.0,0.023,1.0,100.0,0.15848931924611143,0.30095238095238097,525.0,335.0,144.0,32.0,14.0
0.0,3311.9999999999995,1.5068925129979238,1.0,1000.0,0.023,1.0,100.0,0.3981071705534973,0.3005366726296959,559.0,312.0,134.0,79.0,34.0
0.0,3311.9999999999995,3.7851428571428576,1.0,1000.0,0.023,1.0,100.0,1.0,0.2992125984251969,635.0,258.0,110.0,187.0,80.0
0.0,3311.9999999999995,9.507848984182557,1.0,1000.0,0.023,1.0,100.0,2.5118864315095824,0.30013106159895153,763.0,167.0,72.0,367.0,157.0
0.0,3311.9999999999995,23.882636856210304,1.0,1000.0,0.023,1.0,100.0,6.309573444801936,0.3001132502831257,883.0,84.0,36.0,534.0,229.0
0.0,3311.9999999999995,59.99047146778526,1.0,1000.0,0.023,1.0,100.0,15.848931924611142,0.2996845425867508,951.0,37.0,16.0,629.0,269.0
0.0,3311.9999999999995,150.68925129979237,1.0,1000.0,0.023,1.0,100.0,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,3311.9999999999995,378.51428571428573,1.0,1000.0,0.023,1.0,100.0,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
