b,beta,delta,gamma,h,kappa,mag,mf_init,ms_init,mu,rat,wf_init,ws_init,xi
0.0001,13.1853094887,1.0,0.00599904714678,0.300444984242,1000.0,0.398107170553,114.0,222.0,0.023,0.398107170553,265.0,517.0,0.0
0.0001,33.12,1.0,0.01506892513,0.300127821299,1000.0,1.0,113.0,222.0,0.023,0.398107170553,264.0,518.0,0.0
0.0001,83.1936786116,1.0,0.0378514285714,0.299894858294,1000.0,2.51188643151,113.0,222.0,0.023,0.398107170553,264.0,518.0,0.0
0.0001,208.973072492,1.0,0.0950784898418,0.299802174591,1000.0,6.3095734448,113.0,222.0,0.023,0.398107170553,264.0,518.0,0.0
0.0001,524.916625343,1.0,0.238826368562,0.299497159758,1000.0,15.8489319246,113.0,222.0,0.023,0.398107170553,264.0,519.0,0.0
0.0001,1318.53094887,1.0,0.599904714678,0.299482488851,1000.0,39.8107170553,113.0,222.0,0.023,0.398107170553,264.0,519.0,0.0
0.0001,3312.0,1.0,1.506892513,0.299476648499,1000.0,100.0,113.0,222.0,0.023,0.398107170553,264.0,519.0,0.0
0.0001,0.3312,1.0,0.000378514285714,0.299658757425,1000.0,0.01,284.0,148.0,0.023,1.0,664.0,346.0,0.0
0.0001,0.831936786116,1.0,0.000950784898418,0.300254704283,1000.0,0.0251188643151,262.0,155.0,0.023,1.0,610.0,361.0,0.0
0.0001,2.08973072492,1.0,0.00238826368562,0.300557958574,1000.0,0.063095734448,253.0,158.0,0.023,1.0,590.0,368.0,0.0
0.0001,5.24916625343,1.0,0.00599904714678,0.300431450559,1000.0,0.158489319246,250.0,159.0,0.023,1.0,582.0,370.0,0.0
0.0001,13.1853094887,1.0,0.01506892513,0.29937501822,1000.0,0.398107170553,248.0,159.0,0.023,1.0,580.0,372.0,0.0
0.0001,33.12,1.0,0.0378514285714,0.299001430139,1000.0,1.0,247.0,159.0,0.023,1.0,579.0,373.0,0.0
0.0001,83.1936786116,1.0,0.0950784898418,0.300865987816,1000.0,2.51188643151,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,208.973072492,1.0,0.238826368562,0.300771440614,1000.0,6.3095734448,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,524.916625343,1.0,0.599904714678,0.300733812576,1000.0,15.8489319246,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,1318.53094887,1.0,1.506892513,0.300718834466,1000.0,39.8107170553,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,3312.0,1.0,3.78514285714,0.300712871871,1000.0,100.0,248.0,160.0,0.023,1.0,577.0,372.0,0.0
0.0001,0.3312,1.0,0.000950784898418,0.299878070084,1000.0,0.01,980.0,88.0,0.023,2.51188643151,2288.0,205.0,0.0
0.0001,0.831936786116,1.0,0.00238826368562,0.299171830339,1000.0,0.0251188643151,853.0,91.0,0.023,2.51188643151,1999.0,213.0,0.0
0.0001,2.08973072492,1.0,0.00599904714678,0.301383883397,1000.0,0.063095734448,818.0,93.0,0.023,2.51188643151,1897.0,216.0,0.0
0.0001,5.24916625343,1.0,0.01506892513,0.299678707912,1000.0,0.158489319246,799.0,93.0,0.023,2.51188643151,1866.0,217.0,0.0
0.0001,13.1853094887,1.0,0.0378514285714,0.299006047249,1000.0,0.398107170553,791.0,93.0,0.023,2.51188643151,1854.0,218.0,0.0
0.0001,33.12,1.0,0.0950784898418,0.29879130462,1000.0,1.0,788.0,93.0,0.023,2.51188643151,1849.0,218.0,0.0
0.0001,83.1936786116,1.0,0.238826368562,0.298688507972,1000.0,2.51188643151,787.0,93.0,0.023,2.51188643151,1847.0,218.0,0.0
0.0001,208.973072492,1.0,0.599904714678,0.298628092079,1000.0,6.3095734448,786.0,93.0,0.023,2.51188643151,1847.0,218.0,0.0
0.0001,524.916625343,1.0,1.506892513,0.298665142334,1000.0,15.8489319246,786.0,93.0,0.023,2.51188643151,1846.0,218.0,0.0
0.0001,1318.53094887,1.0,3.78514285714,0.29863950311,1000.0,39.8107170553,786.0,93.0,0.023,2.51188643151,1846.0,218.0,0.0
0.0001,3312.0,1.0,9.50784898418,0.298629297058,1000.0,100.0,786.0,93.0,0.023,2.51188643151,1846.0,218.0,0.0
0.0001,0.3312,1.0,0.00238826368562,,1000.0,0.01,,,0.023,6.3095734448,,,0.0
0.0001,0.831936786116,1.0,0.00599904714678,,1000.0,0.0251188643151,,,0.023,6.3095734448,,,0.0
0.0001,2.08973072492,1.0,0.01506892513,,1000.0,0.063095734448,,,0.023,6.3095734448,,,0.0
0.0001,5.24916625343,1.0,0.0378514285714,,1000.0,0.158489319246,,,0.023,6.3095734448,,,0.0
0.0001,13.1853094887,1.0,0.0950784898418,,1000.0,0.398107170553,,,0.023,6.3095734448,,,0.0
0.0001,33.12,1.0,0.238826368562,,1000.0,1.0,,,0.023,6.3095734448,,,0.0
0.0001,83.1936786116,1.0,0.599904714678,,1000.0,2.51188643151,,,0.023,6.3095734448,,,0.0
0.0001,208.973072492,1.0,1.506892513,,1000.0,6.3095734448,,,0.023,6.3095734448,,,0.0
0.0001,524.916625343,1.0,3.78514285714,,1000.0,15.8489319246,,,0.023,6.3095734448,,,0.0
0.0001,1318.53094887,1.0,9.50784898418,,1000.0,39.8107170553,,,0.023,6.3095734448,,,0.0
0.0001,3312.0,1.0,23.8826368562,,1000.0,100.0,,,0.023,6.3095734448,,,0.0
0.0001,0.3312,1.0,0.00599904714678,,1000.0,0.01,,,0.023,15.8489319246,,,0.0
0.0001,0.831936786116,1.0,0.01506892513,,1000.0,0.0251188643151,,,0.023,15.8489319246,,,0.0
0.0001,2.08973072492,1.0,0.0378514285714,,1000.0,0.063095734448,,,0.023,15.8489319246,,,0.0
0.0001,5.24916625343,1.0,0.0950784898418,,1000.0,0.158489319246,,,0.023,15.8489319246,,,0.0
0.0001,13.1853094887,1.0,0.238826368562,,1000.0,0.398107170553,,,0.023,15.8489319246,,,0.0
0.0001,33.12,1.0,0.599904714678,,1000.0,1.0,,,0.023,15.8489319246,,,0.0
0.0001,83.1936786116,1.0,1.506892513,,1000.0,2.51188643151,,,0.023,15.8489319246,,,0.0
0.0001,208.973072492,1.0,3.78514285714,,1000.0,6.3095734448,,,0.023,15.8489319246,,,0.0
0.0001,524.916625343,1.0,9.50784898418,,1000.0,15.8489319246,,,0.023,15.8489319246,,,0.0
0.0001,1318.53094887,1.0,23.8826368562,,1000.0,39.8107170553,,,0.023,15.8489319246,,,0.0
0.0001,3312.0,1.0,59.9904714678,,1000.0,100.0,,,0.023,15.8489319246,,,0.0
0.0001,0.3312,1.0,0.01506892513,,1000.0,0.01,,,0.023,39.8107170553,,,0.0
0.0001,0.831936786116,1.0,0.0378514285714,,1000.0,0.0251188643151,,,0.023,39.8107170553,,,0.0
0.0001,2.08973072492,1.0,0.0950784898418,,1000.0,0.063095734448,,,0.023,39.8107170553,,,0.0
0.0001,5.24916625343,1.0,0.238826368562,,1000.0,0.158489319246,,,0.023,39.8107170553,,,0.0
0.0001,13.1853094887,1.0,0.599904714678,,1000.0,0.398107170553,,,0.023,39.8107170553,,,0.0
0.0001,33.12,1.0,1.506892513,,1000.0,1.0,,,0.023,39.8107170553,,,0.0
0.0001,83.1936786116,1.0,3.78514285714,,1000.0,2.51188643151,,,0.023,39.8107170553,,,0.0
0.0001,208.973072492,1.0,9.50784898418,,1000.0,6.3095734448,,,0.023,39.8107170553,,,0.0
0.0001,524.916625343,1.0,23.8826368562,,1000.0,15.8489319246,,,0.023,39.8107170553,,,0.0
0.0001,1318.53094887,1.0,59.9904714678,,1000.0,39.8107170553,,,0.023,39.8107170553,,,0.0
0.0001,3312.0,1.0,150.6892513,,1000.0,100.0,,,0.023,39.8107170553,,,0.0
0.0001,0.3312,1.0,0.0378514285714,,1000.0,0.01,,,0.023,100.0,,,0.0
0.0001,0.831936786116,1.0,0.0950784898418,,1000.0,0.0251188643151,,,0.023,100.0,,,0.0
0.0001,2.08973072492,1.0,0.238826368562,,1000.0,0.063095734448,,,0.023,100.0,,,0.0
0.0001,5.24916625343,1.0,0.599904714678,,1000.0,0.158489319246,,,0.023,100.0,,,0.0
0.0001,13.1853094887,1.0,1.506892513,,1000.0,0.398107170553,,,0.023,100.0,,,0.0
0.0001,33.12,1.0,3.78514285714,,1000.0,1.0,,,0.023,100.0,,,0.0
0.0001,83.1936786116,1.0,9.50784898418,,1000.0,2.51188643151,,,0.023,100.0,,,0.0
0.0001,208.973072492,1.0,23.8826368562,,1000.0,6.3095734448,,,0.023,100.0,,,0.0
0.0001,524.916625343,1.0,59.9904714678,,1000.0,15.8489319246,,,0.023,100.0,,,0.0
0.0001,1318.53094887,1.0,150.6892513,,1000.0,39.8107170553,,,0.023,100.0,,,0.0
0.0001,3312.0,1.0,378.514285714,,1000.0,100.0,,,0.023,100.0,,,0.0
