h_init_mean,n_target,xi,beta,gamma,kappa,b,mu,delta,Q,net_rat
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.1,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,2.0,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,11.0,0.0158489319246
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.0,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.00001,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.0001,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.001,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.01,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.1,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,2.0,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.0251188643151
0.3,1000.0,0.0,33.12,0.000950784898418,946.0,1.24165230759e-05,0.023,1.0,11.0,0.0251188643151
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.0,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.00001,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.0001,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.001,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.01,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.1,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,2.0,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.0398107170553
0.3,1000.0,0.0,33.12,0.001506892513,917.0,1.24165230759e-05,0.023,1.0,11.0,0.0398107170553
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.0,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.00001,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.0001,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.001,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.01,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.1,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,2.0,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.063095734448
0.3,1000.0,0.0,33.12,0.00238826368562,873.0,1.24165230759e-05,0.023,1.0,11.0,0.063095734448
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.0,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.00001,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.0001,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.001,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.01,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.1,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,2.0,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.1
0.3,1000.0,0.0,33.12,0.00378514285714,808.0,1.24165230759e-05,0.023,1.0,11.0,0.1
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.0,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.00001,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.0001,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.001,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.01,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.1,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,2.0,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.158489319246
0.3,1000.0,0.0,33.12,0.00599904714678,714.0,1.24165230759e-05,0.023,1.0,11.0,0.158489319246
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.0,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.00001,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.0001,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.001,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.01,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.1,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,2.0,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.251188643151
0.3,1000.0,0.0,33.12,0.00950784898418,585.0,1.24165230759e-05,0.023,1.0,11.0,0.251188643151
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.0,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.00001,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.0001,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.001,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.01,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.1,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,2.0,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.398107170553
0.3,1000.0,0.0,33.12,0.01506892513,420.0,1.24165230759e-05,0.023,1.0,11.0,0.398107170553
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.0,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.00001,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.0001,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.001,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.01,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.1,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,2.0,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.63095734448
0.3,1000.0,0.0,33.12,0.0238826368562,223.0,1.24165230759e-05,0.023,1.0,11.0,0.63095734448
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.0,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.00001,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.00003162278,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.0001,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.00031622777,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.001,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.00316227766,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.01,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.0316227766,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.1,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,1.31622776602,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,2.0,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,4.16227766017,1.0
0.3,1000.0,0.0,33.12,0.0378514285714,12.0,1.24165230759e-05,0.023,1.0,11.0,1.0
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.0,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.00001,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.00003162278,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.0001,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.00031622777,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.001,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.00316227766,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.01,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.0316227766,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.1,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,1.31622776602,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,2.0,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,4.16227766017,1.58489319246
0.3,1000.0,0.0,33.12,0.0599904714678,-194.0,1.24165230759e-05,0.023,1.0,11.0,1.58489319246
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.0,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.00001,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.00003162278,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.0001,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.00031622777,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.001,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.00316227766,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.01,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.0316227766,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.1,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,1.31622776602,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,2.0,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,4.16227766017,2.51188643151
0.3,1000.0,0.0,33.12,0.0950784898418,-374.0,1.24165230759e-05,0.023,1.0,11.0,2.51188643151
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.0,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.00001,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.00003162278,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.0001,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.00031622777,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.001,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.00316227766,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.01,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.0316227766,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.1,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,1.31622776602,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,2.0,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,4.16227766017,3.98107170553
0.3,1000.0,0.0,33.12,0.1506892513,-519.0,1.24165230759e-05,0.023,1.0,11.0,3.98107170553
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.0,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.00001,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.00003162278,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.0001,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.00031622777,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.001,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.00316227766,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.01,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.0316227766,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.1,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,1.31622776602,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,2.0,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,4.16227766017,6.3095734448
0.3,1000.0,0.0,33.12,0.238826368562,-627.0,1.24165230759e-05,0.023,1.0,11.0,6.3095734448
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.0,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.00001,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.00003162278,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.0001,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.00031622777,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.001,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.00316227766,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.01,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.0316227766,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.1,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,1.31622776602,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,2.0,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,4.16227766017,10.0
0.3,1000.0,0.0,33.12,0.378514285714,-703.0,1.24165230759e-05,0.023,1.0,11.0,10.0
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.0,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.00001,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.00003162278,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.0001,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.00031622777,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.001,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.00316227766,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.01,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.0316227766,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.1,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,1.31622776602,15.8489319246
0.3,1000.0,0.0,33.12,0.599904714678,-755.0,1.24165230759e-05,0.023,1.0,2.0,15.8489319246
