alpha,beta,gamma,h,mag,mf_init,ms_init,mu,rat,w_opt,wf_init,ws_init,xi
1.0,2.08973072492,0.0001506892513,0.298212722801,0.063095734448,48,377,0.023,0.063095734448,1000.0,112,888,0.0
1.0,5.24916625343,0.000378514285714,0.30071406586,0.158489319246,43,387,0.023,0.063095734448,1000.0,101,899,0.0
1.0,13.1853094887,0.000950784898418,0.296628646818,0.398107170553,41,382,0.023,0.063095734448,1000.0,96,904,0.0
1.0,33.12,0.00238826368562,0.303713944905,1.0,41,394,0.023,0.063095734448,1000.0,95,905,0.0
1.0,83.1936786116,0.00599904714678,0.301062532143,2.51188643151,41,391,0.023,0.063095734448,1000.0,94,906,0.0
1.0,208.973072492,0.01506892513,0.303604650075,6.3095734448,41,395,0.023,0.063095734448,1000.0,94,906,0.0
1.0,524.916625343,0.0378514285714,0.296293295859,15.8489319246,39,382,0.023,0.063095734448,1000.0,93,907,0.0
1.0,1318.53094887,0.0950784898418,0.296625704226,39.8107170553,39,383,0.023,0.063095734448,1000.0,93,907,0.0
1.0,3312.0,0.238826368562,0.296840989496,100.0,39,383,0.023,0.063095734448,1000.0,93,907,0.0
1.0,0.3312,5.99904714678e-05,0.298054560348,0.01,127,298,0.023,0.158489319246,1000.0,299,701,0.0
1.0,0.831936786116,0.0001506892513,0.299600378358,0.0251188643151,104,323,0.023,0.158489319246,1000.0,244,756,0.0
1.0,2.08973072492,0.000378514285714,0.299487079107,0.063095734448,95,333,0.023,0.158489319246,1000.0,221,779,0.0
1.0,5.24916625343,0.000950784898418,0.301116954487,0.158489319246,91,339,0.023,0.158489319246,1000.0,212,788,0.0
1.0,13.1853094887,0.00238826368562,0.299937128534,0.398107170553,89,339,0.023,0.158489319246,1000.0,208,792,0.0
1.0,33.12,0.00599904714678,0.301912715779,1.0,90,343,0.023,0.158489319246,1000.0,207,793,0.0
1.0,83.1936786116,0.01506892513,0.300274522137,2.51188643151,88,341,0.023,0.158489319246,1000.0,206,794,0.0
1.0,208.973072492,0.0378514285714,0.301305405729,6.3095734448,89,342,0.023,0.158489319246,1000.0,206,794,0.0
1.0,524.916625343,0.0950784898418,0.301672069801,15.8489319246,89,343,0.023,0.158489319246,1000.0,206,794,0.0
1.0,1318.53094887,0.238826368562,0.301901806651,39.8107170553,89,343,0.023,0.158489319246,1000.0,206,794,0.0
1.0,3312.0,0.599904714678,0.301993266538,100.0,89,343,0.023,0.158489319246,1000.0,206,794,0.0
1.0,0.3312,0.0001506892513,0.300782608608,0.01,197,233,0.023,0.398107170553,1000.0,459,541,0.0
1.0,0.831936786116,0.000378514285714,0.298850256456,0.0251188643151,179,247,0.023,0.398107170553,1000.0,420,580,0.0
1.0,2.08973072492,0.000950784898418,0.301191107447,0.063095734448,175,257,0.023,0.398107170553,1000.0,405,595,0.0
1.0,5.24916625343,0.00238826368562,0.299628559353,0.158489319246,170,257,0.023,0.398107170553,1000.0,398,602,0.0
1.0,13.1853094887,0.00599904714678,0.301136560406,0.398107170553,171,260,0.023,0.398107170553,1000.0,396,604,0.0
1.0,33.12,0.01506892513,0.301218595688,1.0,170,261,0.023,0.398107170553,1000.0,395,605,0.0
1.0,83.1936786116,0.0378514285714,0.299570722474,2.51188643151,168,259,0.023,0.398107170553,1000.0,394,606,0.0
1.0,208.973072492,0.0950784898418,0.299829739663,6.3095734448,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,524.916625343,0.238826368562,0.300099771942,15.8489319246,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,1318.53094887,0.599904714678,0.300207273729,39.8107170553,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,3312.0,1.506892513,0.300250070961,100.0,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,0.3312,0.000378514285714,0.301392699122,0.01,283,148,0.023,1.0,1000.0,656,344,0.0
1.0,0.831936786116,0.000950784898418,0.298393210038,0.0251188643151,270,156,0.023,1.0,1000.0,634,366,0.0
1.0,2.08973072492,0.00238826368562,0.300190741832,0.063095734448,269,161,0.023,1.0,1000.0,626,374,0.0
1.0,5.24916625343,0.00599904714678,0.298679914469,0.158489319246,265,161,0.023,1.0,1000.0,622,378,0.0
1.0,13.1853094887,0.01506892513,0.29988288202,0.398107170553,266,162,0.023,1.0,1000.0,621,379,0.0
1.0,33.12,0.0378514285714,0.30137956985,1.0,268,164,0.023,1.0,1000.0,621,379,0.0
1.0,83.1936786116,0.0950784898418,0.299111345567,2.51188643151,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,208.973072492,0.238826368562,0.299481902801,6.3095734448,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,524.916625343,0.599904714678,0.299629424292,15.8489319246,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,1318.53094887,1.506892513,0.299688153656,39.8107170553,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,3312.0,3.78514285714,0.29950165221,100.0,265,163,0.023,1.0,1000.0,620,380,0.0
1.0,0.3312,0.000950784898418,0.300013537779,0.01,351,77,0.023,2.51188643151,1000.0,820,180,0.0
1.0,0.831936786116,0.00238826368562,0.298120970871,0.0251188643151,344,81,0.023,2.51188643151,1000.0,810,190,0.0
1.0,2.08973072492,0.00599904714678,0.302122040046,0.063095734448,349,84,0.023,2.51188643151,1000.0,807,193,0.0
1.0,5.24916625343,0.01506892513,0.300050940368,0.158489319246,345,84,0.023,2.51188643151,1000.0,805,195,0.0
1.0,13.1853094887,0.0378514285714,0.298458525721,0.398107170553,342,83,0.023,2.51188643151,1000.0,804,196,0.0
1.0,33.12,0.0950784898418,0.29939449498,1.0,344,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,83.1936786116,0.238826368562,0.300016729707,2.51188643151,344,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,208.973072492,0.599904714678,0.300054323738,6.3095734448,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,524.916625343,1.506892513,0.300152872284,15.8489319246,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,1318.53094887,3.78514285714,0.300192105168,39.8107170553,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,3312.0,9.50784898418,0.30020772406,100.0,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,0.3312,0.00238826368562,0.2984608428,0.01,391,35,0.023,6.3095734448,1000.0,918,82,0.0
1.0,0.831936786116,0.00599904714678,0.298454273804,0.0251188643151,389,37,0.023,6.3095734448,1000.0,914,86,0.0
1.0,2.08973072492,0.01506892513,0.303903781576,0.063095734448,398,38,0.023,6.3095734448,1000.0,913,87,0.0
1.0,5.24916625343,0.0378514285714,0.300591669426,0.158489319246,392,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,13.1853094887,0.0950784898418,0.3029072313,0.398107170553,396,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,33.12,0.238826368562,0.303739249026,1.0,398,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,83.1936786116,0.599904714678,0.304238433255,2.51188643151,398,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,208.973072492,1.506892513,0.304225306014,6.3095734448,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,524.916625343,3.78514285714,0.304304366327,15.8489319246,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,1318.53094887,9.50784898418,0.304335840804,39.8107170553,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,3312.0,23.8826368562,0.304348371019,100.0,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,0.3312,0.00599904714678,0.290153967087,0.01,395,14,0.023,15.8489319246,1000.0,966,35,0.0
1.0,0.831936786116,0.01506892513,0.302756285836,0.0251188643151,419,16,0.023,15.8489319246,1000.0,965,36,0.0
1.0,2.08973072492,0.0378514285714,0.295489218824,0.063095734448,405,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,5.24916625343,0.0950784898418,0.300588156382,0.158489319246,415,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,13.1853094887,0.238826368562,0.30280519464,0.398107170553,418,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,33.12,0.599904714678,0.303514969539,1.0,420,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,83.1936786116,1.506892513,0.303753934,2.51188643151,421,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,208.973072492,3.78514285714,0.303933094925,6.3095734448,421,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,524.916625343,9.50784898418,0.304004420174,15.8489319246,421,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,1318.53094887,23.8826368562,0.304032815267,39.8107170553,421,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,3312.0,59.9904714678,0.304044119557,100.0,421,16,0.023,15.8489319246,1000.0,964,37,0.0
1.0,0.3312,0.01506892513,0.304277287477,0.01,432,6,0.023,39.8107170553,1000.0,988,14,0.0
1.0,0.831936786116,0.0378514285714,0.286707100457,0.0251188643151,397,6,0.023,39.8107170553,1000.0,987,15,0.0
1.0,2.08973072492,0.0950784898418,0.299236449133,0.063095734448,421,6,0.023,39.8107170553,1000.0,987,15,0.0
1.0,5.24916625343,0.238826368562,0.303802871614,0.158489319246,431,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,13.1853094887,0.599904714678,0.305681688248,0.398107170553,435,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,33.12,1.506892513,0.306552395472,1.0,436,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,83.1936786116,3.78514285714,0.306770949377,2.51188643151,437,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,208.973072492,9.50784898418,0.306942356083,6.3095734448,437,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,524.916625343,23.8826368562,0.307010594322,15.8489319246,437,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,1318.53094887,59.9904714678,0.307037760454,39.8107170553,437,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,3312.0,150.6892513,0.307048575486,100.0,437,7,0.023,39.8107170553,1000.0,987,15,0.0
1.0,0.3312,0.0378514285714,0.258001880264,0.01,347,2,0.023,100.0,1000.0,998,6,0.0
1.0,0.831936786116,0.0950784898418,0.290404824181,0.0251188643151,408,2,0.023,100.0,1000.0,998,6,0.0
1.0,2.08973072492,0.238826368562,0.302179345536,0.063095734448,433,3,0.023,100.0,1000.0,998,6,0.0
1.0,5.24916625343,0.599904714678,0.307035339321,0.158489319246,442,3,0.023,100.0,1000.0,998,6,0.0
1.0,13.1853094887,1.506892513,0.308863124549,0.398107170553,446,3,0.023,100.0,1000.0,998,6,0.0
1.0,33.12,3.78514285714,0.309501260276,1.0,448,3,0.023,100.0,1000.0,998,6,0.0
1.0,83.1936786116,9.50784898418,0.309924324725,2.51188643151,448,3,0.023,100.0,1000.0,998,6,0.0
1.0,208.973072492,23.8826368562,0.310092749716,6.3095734448,448,3,0.023,100.0,1000.0,998,6,0.0
1.0,524.916625343,59.9904714678,0.309946779072,15.8489319246,449,3,0.023,100.0,1000.0,998,6,0.0
1.0,1318.53094887,150.6892513,0.3099734543,39.8107170553,449,3,0.023,100.0,1000.0,998,6,0.0
1.0,3312.0,378.514285714,0.3099840739,100.0,449,3,0.023,100.0,1000.0,998,6,0.0
