xi,beta,gamma,kappa,b,mu,delta,net_mag,net_rat,h_init,n_target,ws_init,ms_init,wf_init,mf_init
0.0,83.19367861159738,0.0023882636856210307,947.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,0.025118864315095794,0.3,1000.0,680.0,291.0,20.0,9.0
0.0,208.97307249184016,0.005999047146778526,948.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,0.025118864315095794,0.3,1000.0,680.0,292.0,20.0,8.0
0.0,524.916625343121,0.015068925129979238,948.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,0.025118864315095794,0.3,1000.0,680.0,292.0,20.0,8.0
0.0,1318.5309488731834,0.03785142857142858,948.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,0.025118864315095794,0.3,1000.0,680.0,292.0,20.0,8.0
0.0,3312.0000000000005,0.09507848984182547,948.0,1.2416523075924095e-05,0.023,1.0,100.0,0.025118864315095794,0.3,1000.0,680.0,292.0,20.0,8.0
0.0,0.33120000000000005,2.3882636856210294e-05,692.0,1.2416523075924095e-05,0.023,1.0,0.01,0.06309573444801933,0.3,1000.0,584.0,250.0,116.0,50.0
0.0,0.8319367861159728,5.9990471467785236e-05,795.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,0.06309573444801933,0.3,1000.0,622.0,267.0,77.0,33.0
0.0,2.0897307249184007,0.00015068925129979238,842.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,0.06309573444801933,0.3,1000.0,641.0,274.0,60.0,26.0
0.0,5.249166253431211,0.000378514285714286,862.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,0.06309573444801933,0.3,1000.0,648.0,278.0,52.0,22.0
0.0,13.185309488731832,0.0009507848984182551,870.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,0.06309573444801933,0.3,1000.0,651.0,279.0,49.0,21.0
0.0,33.120000000000005,0.0023882636856210294,873.0,1.2416523075924095e-05,0.023,1.0,1.0,0.06309573444801933,0.3,1000.0,652.0,279.0,48.0,20.0
0.0,83.19367861159738,0.005999047146778531,875.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,0.06309573444801933,0.3,1000.0,653.0,280.0,47.0,20.0
0.0,208.97307249184016,0.015068925129979246,875.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,0.06309573444801933,0.3,1000.0,652.0,280.0,47.0,20.0
0.0,524.916625343121,0.0378514285714286,875.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,0.06309573444801933,0.3,1000.0,652.0,280.0,47.0,20.0
0.0,1318.5309488731834,0.09507848984182553,875.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,0.06309573444801933,0.3,1000.0,652.0,280.0,47.0,20.0
0.0,3312.0000000000005,0.23882636856210293,875.0,1.2416523075924095e-05,0.023,1.0,100.0,0.06309573444801933,0.3,1000.0,652.0,280.0,47.0,20.0
0.0,0.33120000000000005,5.999047146778528e-05,568.0,1.2416523075924095e-05,0.023,1.0,0.01,0.15848931924611143,0.3,1000.0,537.0,230.0,163.0,70.0
0.0,0.8319367861159728,0.00015068925129979238,652.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,0.15848931924611143,0.3,1000.0,568.0,244.0,131.0,56.0
0.0,2.0897307249184007,0.00037851428571428604,690.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,0.15848931924611143,0.3,1000.0,583.0,250.0,117.0,50.0
0.0,5.249166253431211,0.0009507848984182559,705.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,0.15848931924611143,0.3,1000.0,589.0,252.0,111.0,48.0
0.0,13.185309488731832,0.0023882636856210307,712.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,0.15848931924611143,0.3,1000.0,592.0,253.0,109.0,47.0
0.0,33.120000000000005,0.005999047146778527,714.0,1.2416523075924095e-05,0.023,1.0,1.0,0.15848931924611143,0.3,1000.0,592.0,254.0,108.0,46.0
0.0,83.19367861159738,0.015068925129979257,715.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,0.15848931924611143,0.3,1000.0,592.0,254.0,108.0,46.0
0.0,208.97307249184016,0.03785142857142862,716.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,0.15848931924611143,0.3,1000.0,593.0,254.0,108.0,46.0
0.0,524.916625343121,0.09507848984182558,716.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,0.15848931924611143,0.3,1000.0,593.0,254.0,107.0,46.0
0.0,1318.5309488731834,0.2388263685621031,716.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,0.15848931924611143,0.3,1000.0,593.0,254.0,107.0,46.0
0.0,3312.0000000000005,0.5999047146778528,716.0,1.2416523075924095e-05,0.023,1.0,100.0,0.15848931924611143,0.3,1000.0,593.0,254.0,107.0,46.0
0.0,0.33120000000000005,0.0001506892512997924,328.0,1.2416523075924095e-05,0.023,1.0,0.01,0.3981071705534973,0.3,1000.0,446.0,191.0,254.0,109.0
0.0,0.8319367861159728,0.00037851428571428577,382.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,0.3981071705534973,0.3,1000.0,466.0,200.0,234.0,100.0
0.0,2.0897307249184007,0.0009507848984182552,405.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,0.3981071705534973,0.3,1000.0,475.0,204.0,225.0,97.0
0.0,5.249166253431211,0.0023882636856210307,414.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,0.3981071705534973,0.3,1000.0,479.0,205.0,221.0,95.0
0.0,13.185309488731832,0.005999047146778526,418.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,0.3981071705534973,0.3,1000.0,480.0,206.0,220.0,94.0
0.0,33.120000000000005,0.015068925129979238,420.0,1.2416523075924095e-05,0.023,1.0,1.0,0.3981071705534973,0.3,1000.0,481.0,206.0,219.0,94.0
0.0,83.19367861159738,0.03785142857142862,420.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,0.3981071705534973,0.3,1000.0,481.0,206.0,219.0,94.0
0.0,208.97307249184016,0.09507848984182557,421.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,0.3981071705534973,0.3,1000.0,482.0,206.0,219.0,94.0
0.0,524.916625343121,0.23882636856210304,421.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,0.3981071705534973,0.3,1000.0,482.0,206.0,219.0,94.0
0.0,1318.5309488731834,0.5999047146778527,421.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,0.3981071705534973,0.3,1000.0,481.0,206.0,219.0,94.0
0.0,3312.0000000000005,1.5068925129979238,421.0,1.2416523075924095e-05,0.023,1.0,100.0,0.3981071705534973,0.3,1000.0,481.0,206.0,219.0,94.0
0.0,0.33120000000000005,0.0003785142857142858,-27.0,1.2416523075924095e-05,0.023,1.0,0.01,1.0,0.3,1000.0,312.0,134.0,387.0,166.0
0.0,0.8319367861159728,0.0009507848984182547,-4.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,1.0,0.3,1000.0,321.0,137.0,380.0,162.0
0.0,2.0897307249184007,0.0023882636856210294,6.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,1.0,0.3,1000.0,324.0,139.0,376.0,161.0
0.0,5.249166253431211,0.005999047146778527,9.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,1.0,0.3,1000.0,325.0,140.0,373.0,161.0
0.0,13.185309488731832,0.015068925129979238,11.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,1.0,0.3,1000.0,326.0,140.0,373.0,160.0
0.0,33.120000000000005,0.03785142857142858,12.0,1.2416523075924095e-05,0.023,1.0,1.0,1.0,0.3,1000.0,327.0,140.0,374.0,160.0
0.0,83.19367861159738,0.09507848984182558,12.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,1.0,0.3,1000.0,327.0,140.0,373.0,160.0
0.0,208.97307249184016,0.23882636856210304,12.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,1.0,0.3,1000.0,327.0,140.0,373.0,160.0
0.0,524.916625343121,0.5999047146778527,12.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,1.0,0.3,1000.0,327.0,140.0,373.0,160.0
0.0,1318.5309488731834,1.506892512997924,12.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,1.0,0.3,1000.0,327.0,140.0,373.0,160.0
0.0,3312.0000000000005,3.785142857142858,12.0,1.2416523075924095e-05,0.023,1.0,100.0,1.0,0.3,1000.0,327.0,140.0,373.0,160.0
0.0,0.33120000000000005,0.0009507848984182559,-384.0,1.2416523075924095e-05,0.023,1.0,0.01,2.5118864315095824,0.3,1000.0,177.0,76.0,523.0,225.0
0.0,0.8319367861159728,0.0023882636856210307,-378.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,2.5118864315095824,0.3,1000.0,179.0,77.0,520.0,224.0
0.0,2.0897307249184007,0.005999047146778531,-376.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,2.5118864315095824,0.3,1000.0,180.0,77.0,520.0,222.0
0.0,5.249166253431211,0.015068925129979257,-374.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,2.5118864315095824,0.3,1000.0,181.0,77.0,521.0,222.0
0.0,13.185309488731832,0.03785142857142862,-374.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,2.5118864315095824,0.3,1000.0,181.0,77.0,521.0,221.0
0.0,33.120000000000005,0.09507848984182558,-374.0,1.2416523075924095e-05,0.023,1.0,1.0,2.5118864315095824,0.3,1000.0,181.0,77.0,521.0,221.0
0.0,83.19367861159738,0.23882636856210335,-374.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,2.5118864315095824,0.3,1000.0,181.0,77.0,520.0,221.0
0.0,208.97307249184016,0.5999047146778533,-374.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,2.5118864315095824,0.3,1000.0,181.0,77.0,520.0,221.0
0.0,524.916625343121,1.5068925129979256,-374.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,2.5118864315095824,0.3,1000.0,181.0,77.0,520.0,221.0
0.0,1318.5309488731834,3.7851428571428625,-374.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,2.5118864315095824,0.3,1000.0,181.0,77.0,520.0,221.0
0.0,3312.0000000000005,9.507848984182559,-374.0,1.2416523075924095e-05,0.023,1.0,100.0,2.5118864315095824,0.3,1000.0,181.0,77.0,520.0,221.0
0.0,0.33120000000000005,0.0023882636856210307,-629.0,1.2416523075924095e-05,0.023,1.0,0.01,6.309573444801936,0.3,1000.0,85.0,36.0,617.0,262.0
0.0,0.8319367861159728,0.005999047146778526,-628.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,6.309573444801936,0.3,1000.0,85.0,36.0,618.0,261.0
0.0,2.0897307249184007,0.015068925129979246,-627.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,6.309573444801936,0.3,1000.0,86.0,36.0,618.0,260.0
0.0,5.249166253431211,0.03785142857142862,-627.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,13.185309488731832,0.09507848984182556,-627.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,33.120000000000005,0.23882636856210304,-627.0,1.2416523075924095e-05,0.023,1.0,1.0,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,83.19367861159738,0.5999047146778533,-627.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,208.97307249184016,1.5068925129979254,-627.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,524.916625343121,3.7851428571428616,-627.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,1318.5309488731834,9.507848984182559,-627.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,3312.0000000000005,23.882636856210304,-627.0,1.2416523075924095e-05,0.023,1.0,100.0,6.309573444801936,0.3,1000.0,85.0,37.0,611.0,267.0
0.0,0.33120000000000005,0.005999047146778527,-756.0,1.2416523075924095e-05,0.023,1.0,0.01,15.848931924611142,0.3,1000.0,36.0,16.0,657.0,291.0
0.0,0.8319367861159728,0.015068925129979238,-756.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,15.848931924611142,0.3,1000.0,36.0,16.0,657.0,290.0
0.0,2.0897307249184007,0.0378514285714286,-756.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,15.848931924611142,0.3,1000.0,36.0,16.0,657.0,290.0
0.0,5.249166253431211,0.09507848984182558,-755.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,13.185309488731832,0.23882636856210304,-755.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,33.120000000000005,0.5999047146778527,-755.0,1.2416523075924095e-05,0.023,1.0,1.0,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,83.19367861159738,1.5068925129979256,-755.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,208.97307249184016,3.7851428571428616,-755.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,524.916625343121,9.507848984182557,-755.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,1318.5309488731834,23.882636856210308,-755.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,3312.0000000000005,59.99047146778527,-755.0,1.2416523075924095e-05,0.023,1.0,100.0,15.848931924611142,0.3,1000.0,36.0,16.0,658.0,290.0
0.0,0.33120000000000005,0.015068925129979241,-813.0,1.2416523075924095e-05,0.023,1.0,0.01,39.810717055349734,0.3,1000.0,15.0,6.0,705.0,273.0
0.0,0.8319367861159728,0.03785142857142858,-813.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,39.810717055349734,0.3,1000.0,15.0,6.0,705.0,273.0
0.0,2.0897307249184007,0.09507848984182553,-813.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,5.249166253431211,0.23882636856210307,-813.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,13.185309488731832,0.5999047146778527,-813.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,33.120000000000005,1.5068925129979238,-813.0,1.2416523075924095e-05,0.023,1.0,1.0,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,83.19367861159738,3.785142857142862,-813.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,208.97307249184016,9.507848984182557,-813.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,524.916625343121,23.882636856210304,-813.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,1318.5309488731834,59.99047146778528,-813.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,3312.0000000000005,150.6892512997924,-813.0,1.2416523075924095e-05,0.023,1.0,100.0,39.810717055349734,0.3,1000.0,16.0,6.0,705.0,273.0
0.0,0.33120000000000005,0.037851428571428584,-836.0,1.2416523075924095e-05,0.023,1.0,0.01,100.0,0.3,1000.0,6.0,3.0,648.0,343.0
0.0,0.8319367861159728,0.09507848984182547,-836.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,2.0897307249184007,0.23882636856210293,-836.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,5.249166253431211,0.5999047146778527,-836.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,13.185309488731832,1.5068925129979238,-836.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,3.7851428571428576,-836.0,1.2416523075924095e-05,0.023,1.0,1.0,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,83.19367861159738,9.507848984182559,-836.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,208.97307249184016,23.882636856210304,-836.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,524.916625343121,59.99047146778527,-836.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,1318.5309488731834,150.6892512997924,-836.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,3312.0000000000005,378.5142857142858,-836.0,1.2416523075924095e-05,0.023,1.0,100.0,100.0,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,1.2416523075924096e-07,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,1.9678862897068422e-07,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,3.118889584093932e-07,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,4.943106869868349e-07,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,7.834296427662108e-07,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,1.2416523075924096e-06,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,1.9678862897068434e-06,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,3.1188895840939336e-06,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,4.943106869868349e-06,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,11.662903457629223,7.83429642766211e-06,0.023,1.0,,,0.3,1000.0,6.0,3.0,649.0,343.0
0.0,33.120000000000005,0.03785142857142858,12.0,1.2416523075924095e-05,0.023,1.0,,,0.3,1000.0,327.0,140.0,374.0,160.0
0.0,33.120000000000005,0.03785142857142858,376.0,1.967886289706843e-05,0.023,1.0,,,0.3,1000.0,326.0,140.0,373.0,160.0
0.0,33.120000000000005,0.03785142857142858,607.0,3.118889584093936e-05,0.023,1.0,,,0.3,1000.0,327.0,140.0,374.0,160.0
0.0,33.120000000000005,0.03785142857142858,752.0,4.943106869868349e-05,0.023,1.0,,,0.3,1000.0,327.0,140.0,374.0,160.0
0.0,33.120000000000005,0.03785142857142858,843.0,7.834296427662112e-05,0.023,1.0,,,0.3,1000.0,326.0,140.0,373.0,160.0
0.0,33.120000000000005,0.03785142857142858,901.0,0.00012416523075924095,0.023,1.0,,,0.3,1000.0,326.0,140.0,373.0,160.0
0.0,33.120000000000005,0.03785142857142858,938.0,0.0001967886289706843,0.023,1.0,,,0.3,1000.0,327.0,140.0,374.0,160.0
0.0,33.120000000000005,0.03785142857142858,961.0,0.00031188895840939353,0.023,1.0,,,0.3,1000.0,327.0,140.0,374.0,160.0
0.0,33.120000000000005,0.03785142857142858,975.0,0.0004943106869868349,0.023,1.0,,,0.3,1000.0,326.0,140.0,373.0,160.0
0.0,33.120000000000005,0.03785142857142858,984.0,0.0007834296427662112,0.023,1.0,,,0.3,1000.0,326.0,140.0,373.0,160.0
0.0,33.120000000000005,0.03785142857142858,990.0,0.0012416523075924094,0.023,1.0,,,0.3,1000.0,326.0,140.0,373.0,160.0
