alpha,beta,gamma,h,mag,mf_init,ms_init,mu,rat,w_opt,wf_init,ws_init,xi
1.0,5.24916625343,0.01506892513,0.299293199761,0.158489319246,343,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,13.1853094887,0.0378514285714,0.299853038696,0.398107170553,344,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,33.12,0.0950784898418,0.299949305131,1.0,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,83.1936786116,0.238826368562,0.300071165949,2.51188643151,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,208.973072492,0.599904714678,0.300119679577,6.3095734448,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,524.916625343,1.506892513,0.300138993214,15.8489319246,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,1318.53094887,3.78514285714,0.30014668211,39.8107170553,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,3312.0,9.50784898418,0.300149743113,100.0,345,84,0.023,2.51188643151,1000.0,804,196,0.0
1.0,0.3312,0.00238826368562,0.299040566364,0.01,389,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,0.831936786116,0.00599904714678,0.302189437858,0.0251188643151,395,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,2.08973072492,0.01506892513,0.303517882833,0.063095734448,397,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,5.24916625343,0.0378514285714,0.304002566941,0.158489319246,398,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,13.1853094887,0.0950784898418,0.304279668867,0.398107170553,398,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,33.12,0.238826368562,0.304178161781,1.0,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,83.1936786116,0.599904714678,0.304222048889,2.51188643151,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,208.973072492,1.506892513,0.304239520676,6.3095734448,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,524.916625343,3.78514285714,0.304246476303,15.8489319246,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,1318.53094887,9.50784898418,0.304249245396,39.8107170553,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,3312.0,23.8826368562,0.304250347791,100.0,399,38,0.023,6.3095734448,1000.0,912,88,0.0
1.0,0.3312,0.00599904714678,0.302124122018,0.01,417,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,0.831936786116,0.01506892513,0.303370644831,0.0251188643151,419,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,2.08973072492,0.0378514285714,0.303822804309,0.063095734448,420,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,5.24916625343,0.0950784898418,0.303875304639,0.158489319246,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,13.1853094887,0.238826368562,0.303980376572,0.398107170553,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,33.12,0.599904714678,0.304022206544,1.0,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,83.1936786116,1.506892513,0.304038859296,2.51188643151,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,208.973072492,3.78514285714,0.304045488893,6.3095734448,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,524.916625343,9.50784898418,0.304048128177,15.8489319246,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,1318.53094887,23.8826368562,0.304049178896,39.8107170553,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,3312.0,59.9904714678,0.30404959719,100.0,421,16,0.023,15.8489319246,1000.0,963,37,0.0
1.0,0.3312,0.01506892513,0.306337527982,0.01,435,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,0.831936786116,0.0378514285714,0.306771425295,0.0251188643151,436,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,2.08973072492,0.0950784898418,0.307028679466,0.063095734448,436,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,5.24916625343,0.238826368562,0.306918400149,0.158489319246,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,13.1853094887,0.599904714678,0.306959143715,0.398107170553,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,33.12,1.506892513,0.306975364393,1.0,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,83.1936786116,3.78514285714,0.306981821833,2.51188643151,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,208.973072492,9.50784898418,0.306984392605,6.3095734448,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,524.916625343,23.8826368562,0.306985416044,15.8489319246,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,1318.53094887,59.9904714678,0.306985823485,39.8107170553,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,3312.0,150.6892513,0.306985985686,100.0,437,7,0.023,39.8107170553,1000.0,985,15,0.0
1.0,0.3312,0.0378514285714,0.3098495444,0.01,446,3,0.023,100.0,1000.0,994,6,0.0
1.0,0.831936786116,0.0950784898418,0.309889593143,0.0251188643151,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,2.08973072492,0.238826368562,0.309990613108,0.063095734448,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,5.24916625343,0.599904714678,0.310030828008,0.158489319246,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,13.1853094887,1.506892513,0.310046838172,0.398107170553,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,33.12,3.78514285714,0.310053211864,1.0,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,83.1936786116,9.50784898418,0.310055749315,2.51188643151,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,208.973072492,23.8826368562,0.3100567595,6.3095734448,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,524.916625343,59.9904714678,0.31005716165,15.8489319246,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,1318.53094887,150.6892513,0.310057321753,39.8107170553,447,3,0.023,100.0,1000.0,994,6,0.0
1.0,3312.0,378.514285714,0.310057385486,100.0,447,3,0.023,100.0,1000.0,994,6,0.0
