xi,beta,gamma,b,kappa,mu,delta1,delta2,delta3,delta4,net_mag,net_rat,h_init,n_init,ws_init,ms_init,wf_init,mf_init
0.0,33.12,0.00238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,0.063095734448,0.298387096774,124.0,86.0,37.0,1.0,0.0
0.0,33.12,0.00599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,0.158489319246,0.303571428571,168.0,113.0,49.0,4.0,2.0
0.0,33.12,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,0.398107170553,0.3,750.0,391.0,168.0,134.0,57.0
0.0,33.12,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,1.0,0.299880525687,1674.0,402.0,172.0,770.0,330.0
0.0,33.12,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,33.12,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,33.12,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,33.12,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,33.12,3.78514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,83.1936786116,0.000950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,0.01,0.302752293578,109.0,76.0,33.0,0.0,0.0
0.0,83.1936786116,0.00238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,0.0251188643151,0.297297297297,111.0,78.0,33.0,0.0,0.0
0.0,83.1936786116,0.00599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,0.063095734448,0.295081967213,122.0,85.0,36.0,1.0,0.0
0.0,83.1936786116,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,0.158489319246,0.298780487805,164.0,112.0,48.0,3.0,1.0
0.0,83.1936786116,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,0.398107170553,0.299465240642,748.0,391.0,167.0,133.0,57.0
0.0,83.1936786116,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,1.0,0.300059772863,1673.0,402.0,172.0,769.0,330.0
0.0,83.1936786116,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,83.1936786116,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,83.1936786116,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,83.1936786116,3.78514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,83.1936786116,9.50784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,2.51188643151,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,208.973072492,0.00238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,0.01,0.296296296296,108.0,76.0,32.0,0.0,0.0
0.0,208.973072492,0.00599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,0.0251188643151,0.297297297297,111.0,78.0,33.0,0.0,0.0
0.0,208.973072492,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,0.063095734448,0.297520661157,121.0,84.0,36.0,1.0,0.0
0.0,208.973072492,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,0.158489319246,0.300613496933,163.0,111.0,48.0,3.0,1.0
0.0,208.973072492,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,0.398107170553,0.300268096515,746.0,390.0,167.0,132.0,57.0
0.0,208.973072492,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,1.0,0.300059772863,1673.0,402.0,172.0,769.0,330.0
0.0,208.973072492,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,208.973072492,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,208.973072492,3.78514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
