NREPEATS = 10
w0_s = 196,m0_s = 84,w0_f = 799,m0_f = 342
xi = 0.000000
beta = 2.0897307249e+02
gamma = 5.9990471468e-01
alpha = 1.0000000000e+00
w_opt = 1.0000000000e+03
mu = 2.3000000000e-02
TFinal = 500.000000
t,rep,ws,ms,wf,mf,h,n
230.000000,2,206,77,793,313,0.280778,1389
240.000000,2,199,83,794,302,0.279390,1378
250.000000,2,207,94,790,293,0.279624,1384
260.000000,2,204,81,796,303,0.277457,1384
270.000000,2,206,72,787,317,0.281476,1382
280.000000,2,207,68,788,335,0.288269,1398
290.000000,2,196,88,799,323,0.292319,1406
300.000000,2,211,79,783,333,0.293030,1406
310.000000,2,211,86,785,329,0.294118,1411
320.000000,2,192,81,804,337,0.295615,1414
330.000000,2,212,98,786,315,0.292700,1411
340.000000,2,163,80,831,340,0.297030,1414
350.000000,2,178,83,817,342,0.299296,1420
360.000000,2,195,78,801,351,0.301053,1425
370.000000,2,205,84,790,346,0.301754,1425
380.000000,2,186,66,806,377,0.308711,1435
390.000000,2,185,87,810,362,0.310942,1444
400.000000,2,195,92,802,368,0.315717,1457
410.000000,2,176,105,818,361,0.319178,1460
420.000000,2,178,89,816,381,0.321038,1464
430.000000,2,195,77,802,377,0.312888,1451
440.000000,2,209,84,785,361,0.309243,1439
450.000000,2,192,76,802,373,0.311157,1443
460.000000,2,198,101,800,342,0.307425,1441
470.000000,2,188,90,807,352,0.307585,1437
480.000000,2,191,101,804,346,0.309986,1442
490.000000,2,201,100,794,338,0.305652,1433
500.000000,2,191,91,807,346,0.304530,1435
0.000000,3,196,84,799,342,0.299789,1421
10.000000,3,213,82,784,346,0.300351,1425
20.000000,3,178,78,817,343,0.297316,1416
30.000000,3,189,82,807,333,0.294118,1411
40.000000,3,196,91,801,326,0.294908,1414
50.000000,3,199,71,795,349,0.297030,1414
60.000000,3,202,81,793,336,0.295326,1412
70.000000,3,182,84,816,333,0.294700,1415
80.000000,3,202,84,792,347,0.302456,1425
90.000000,3,207,79,790,346,0.298875,1422
100.000000,3,207,99,790,321,0.296401,1417
110.000000,3,183,99,807,325,0.299859,1414
120.000000,3,212,95,781,333,0.301196,1421
130.000000,3,205,93,790,345,0.305652,1433
140.000000,3,209,82,785,351,0.303434,1427
150.000000,3,193,82,803,350,0.302521,1428
160.000000,3,206,78,788,350,0.300985,1422
170.000000,3,202,91,791,328,0.296742,1412
180.000000,3,195,85,803,329,0.293201,1412
190.000000,3,214,76,785,343,0.295487,1418
200.000000,3,202,90,791,341,0.302669,1424
210.000000,3,196,101,799,333,0.303709,1429
220.000000,3,182,83,814,361,0.308333,1440
230.000000,3,193,84,804,357,0.306676,1438
240.000000,3,194,102,804,330,0.302098,1430
